mass_1 mass_2 luminosity_distance redshift theta_jn dec ra psi phase geocent_time a_1 a_2
9.976300000000000168e+00 7.804999999999999716e+00 4.766547292784896854e+04 4.998899999999999899e+00 8.458085174654120797e-01 -8.682010372618992333e-01 3.192623403703457541e+00 4.680631788155069195e+00 3.658931506653653187e+00 1.580829964922509909e+09 9.790000000000000091e-02 1.170000000000000068e-01
7.266499999999999737e+00 6.876199999999999868e+00 1.874808908764522494e+04 2.286999999999999922e+00 1.013149597131551838e+00 -4.129543715057109043e-01 2.299120802049946288e+00 2.929876280149720458e+00 2.319664865524168285e+00 1.599736324146735907e+09 5.800000000000000294e-02 4.369999999999999996e-01
2.027899999999999991e+01 8.766500000000000625e+00 2.475523143542497564e+03 4.353000000000000203e-01 8.493452011317753625e-01 5.441417374622155023e-01 1.759792985790914033e+00 1.210485816436185580e+00 6.180349240900712138e-01 1.596187972717546701e+09 1.894000000000000128e-01 3.849999999999999950e-02
2.191100000000000136e+01 1.043500000000000050e+01 7.930765906210341200e+03 1.134100000000000108e+00 2.053659965735350035e+00 3.987781458978283400e-01 5.126561377488427773e+00 1.830399285804087617e+00 4.774107343598817721e+00 1.598698755386020660e+09 2.076999999999999957e-01 1.605999999999999928e-01
5.856399999999999828e+00 5.834800000000000431e+00 1.172653763167328361e+04 1.557900000000000063e+00 1.793405374146251230e+00 5.662551687132597600e-01 3.001950767121823294e+00 3.711387730376014993e+00 6.524003991867890484e-01 1.586374560672340870e+09 1.882999999999999952e-01 1.024999999999999939e-01
1.112020000000000053e+01 9.229100000000000747e+00 1.517914804239410296e+04 1.923000000000000043e+00 9.370597483609008904e-01 6.667925123646138985e-01 5.638763233772484895e+00 1.039970296555323415e-01 4.197546919666349297e+00 1.580408435434235334e+09 1.590999999999999914e-01 1.587999999999999967e-01
1.893900000000000006e+01 1.183649999999999913e+01 3.161371975734310763e+04 3.531099999999999905e+00 1.406189986336735309e+00 1.234949640953656225e+00 4.611130769786059957e+00 5.105719725176518509e+00 5.652106639846611991e+00 1.594825137531752348e+09 2.524000000000000132e-01 2.482999999999999929e-01
2.550969999999999871e+01 1.817449999999999832e+01 5.344650225068884902e+04 5.513300000000000090e+00 1.137944292967185023e+00 -6.184440954341343666e-01 5.613365707133789684e+00 3.723977850677498314e+00 5.079174476624944923e+00 1.582600765698950291e+09 1.393999999999999961e-01 7.059999999999999609e-02
1.428090000000000082e+01 6.956100000000000172e+00 1.517914804239410296e+04 1.923000000000000043e+00 1.645917152881198442e+00 9.657583900269925969e-01 5.029128085761065847e+00 1.403983209640422114e+00 1.507966620142692449e+00 1.585498362915059090e+09 1.280999999999999917e-01 1.400000000000000133e-01
1.931599999999999895e+01 1.493099999999999916e+01 2.720901215983939983e+04 3.114300000000000068e+00 1.205954345007172357e+00 6.893662792986110510e-01 5.149826944317964283e+00 1.785249107209398722e-01 5.957961471153992328e+00 1.608453266416896582e+09 1.920999999999999930e-01 1.433000000000000107e-01
1.554879999999999995e+01 1.409680000000000000e+01 1.625055565718060097e+04 2.033500000000000085e+00 8.021907554846692268e-01 4.522157201873078236e-01 3.466108097169436686e+00 3.391009239060051250e+00 6.019965521940610742e+00 1.598337887760531664e+09 1.922000000000000097e-01 6.489999999999999936e-02
8.570399999999999352e+00 5.995300000000000296e+00 3.522777796259630122e+04 3.867799999999999905e+00 2.500068139227069608e+00 -2.407565829184452610e-01 1.331876107253147312e+00 1.258303694505447323e+00 3.988849827554775962e-02 1.608757686440225124e+09 1.562000000000000055e-01 3.007000000000000228e-01
8.495900000000000674e+00 8.439000000000000057e+00 3.005733544853750573e+04 3.384700000000000042e+00 7.419362607259532005e-01 1.179873556653873390e+00 2.985929178103656212e-01 1.333106350050793809e+00 1.012834867726341237e+00 1.607680086942364216e+09 2.230000000000000038e-01 2.040000000000000147e-02
8.536099999999999355e+00 6.307500000000000107e+00 2.738493127858280059e+04 3.131099999999999994e+00 6.553935925451030986e-01 6.582692713840416765e-01 5.527775203991063258e+00 1.229653014545791345e+00 4.244375184465640771e+00 1.591374582454762697e+09 2.368000000000000105e-01 1.340999999999999970e-01
2.217739999999999867e+01 2.053490000000000038e+01 1.561993053880677326e+04 1.968599999999999905e+00 2.810641222559029817e+00 -4.040829983829330452e-01 2.476899628723795654e+00 3.620365313536181961e+00 1.686284040347649782e+00 1.592784360779725075e+09 2.177000000000000046e-01 1.559999999999999998e-01
1.694399999999999906e+01 1.433099999999999952e+01 2.932928612783659992e+04 3.315900000000000070e+00 1.129832777312265613e+00 3.335665494667952036e-01 2.174317624976817687e+00 4.254397658773699575e+00 1.294733599898234111e+00 1.591630413668590784e+09 2.368999999999999995e-01 1.199000000000000066e-01
2.286499999999999844e+01 1.885600000000000165e+01 1.360964977577324680e+04 1.758899999999999908e+00 2.495346673223711509e+00 -4.337293957992083282e-01 1.414626661904842653e+00 1.506405748641395093e+00 2.399778914424805176e+00 1.605327110010675430e+09 2.338999999999999968e-01 9.669999999999999429e-02
3.913040000000000163e+01 2.616150000000000020e+01 4.294294211519548116e+04 4.573800000000000310e+00 1.614902624325611491e+00 -2.917521639399940359e-01 5.327620119597920478e+00 3.616224241275756590e+00 1.580425801079091030e+00 1.599409634814698696e+09 7.344000000000000528e-01 1.252000000000000057e-01
1.030799999999999983e+01 7.101399999999999935e+00 8.055208199527418765e+04 7.860999999999999766e+00 1.800629831419851001e+00 4.619527158605407635e-01 3.562206040482884362e+00 2.035128072700671975e+00 4.590658692090213044e+00 1.583115019280030966e+09 2.232000000000000095e-01 2.511999999999999789e-01
1.465399999999999991e+01 1.302200000000000024e+01 2.496144833707094585e+04 2.898400000000000087e+00 2.968854852799633015e+00 -2.505540760127333844e-01 4.891538665031143651e+00 3.095751845850354678e-01 4.856391727263984492e+00 1.595199122597097635e+09 2.169000000000000095e-01 1.280999999999999917e-01
8.336299999999999599e+00 7.802599999999999980e+00 8.254496178315002908e+03 1.171499999999999986e+00 2.290912544435416365e+00 -2.769911562358002843e-01 3.978628229126448979e+00 4.272726335734690295e+00 3.861301528783765757e+00 1.577694806219613791e+09 9.410000000000000309e-02 1.497999999999999887e-01
3.404200000000000159e+01 2.376300000000000168e+01 4.508156112662168016e+04 4.766899999999999693e+00 1.586483263323017923e+00 5.064913082423183610e-01 2.392035019603716783e+00 3.305660478230426857e+00 2.170758985709718036e+00 1.579767504953329563e+09 1.534999999999999976e-01 1.474000000000000032e-01
4.337680000000000291e+01 3.943299999999999983e+01 1.472017477002984197e+04 1.875299999999999967e+00 9.245603008548476387e-01 3.618839257843289303e-01 4.805880071204916781e+00 1.172056450705259989e+00 1.753791342874779779e+00 1.606461493294313192e+09 1.890999999999999903e-01 1.232000000000000040e-01
1.714499999999999957e+01 1.575999999999999979e+01 3.364851694600532210e+04 3.721200000000000063e+00 2.930480081691884675e-01 1.652525749354571971e-02 3.609465228185605223e+00 1.055472287236906892e+00 2.521522845816373426e+00 1.600800556059783220e+09 5.920000000000000262e-02 1.421000000000000041e-01
4.571520000000000294e+01 3.503130000000000166e+01 4.166264945488775265e+04 4.457699999999999996e+00 2.553706989408629280e+00 8.327138667765598967e-02 1.612333159242189229e+00 4.427631008850939409e+00 6.193298606735790912e+00 1.599097260656482935e+09 2.379000000000000004e-01 1.607000000000000095e-01
1.660600000000000165e+01 1.407799999999999940e+01 1.279174880232325268e+04 1.672199999999999909e+00 2.110999073182682650e+00 1.998908292853363022e-01 2.032194546975895300e+00 2.825707978458514624e+00 3.909351160413950255e-01 1.585494825123305559e+09 2.495999999999999885e-01 2.180999999999999883e-01
2.300720000000000098e+01 1.431889999999999930e+01 2.046389979016171856e+04 2.458299999999999930e+00 1.058060340455052373e+00 -8.722134057293420284e-01 3.065384336313921931e+00 2.782365822864441895e+00 1.907621927536727879e+00 1.597328046428046942e+09 2.071999999999999953e-01 8.319999999999999618e-02
