mass_1 mass_2 luminosity_distance dec ra theta_jn psi geocent_time phase redshift lambda_1 lambda_2
1.457775261630194441e+00 1.873113924360863658e+00 2.837791712280538377e+03 -7.504362547456017163e-01 8.811486166282360699e-01 1.309665727341135621e+00 2.871284954030198566e+00 1.587201476421686888e+09 3.007855372956244722e+00 4.882500000000000173e-01 1.983288213444340897e+02 3.014490397501360164e+01
1.819784390254513218e+00 1.818061824341872024e+00 4.433188775228146369e+03 4.706791839762449747e-01 5.975934724792067776e+00 2.843513116696136045e+00 6.280734294959364306e+00 1.603329275469977856e+09 1.618036028093951639e+00 7.063500000000000334e-01 3.890069621972275371e+01 3.921832503684274229e+01
1.823633506609877664e+00 1.484033548270460745e+00 3.839830599378362876e+03 -8.555491388177417500e-01 3.899020939660334140e+00 1.543746564759602924e+00 3.707824722830358688e+00 1.598317142430516958e+09 4.042466674759010448e-01 6.276500000000000412e-01 3.819094673150900121e+01 1.763673590692162634e+02
1.360910914953781914e+00 1.164576343829635041e+00 5.375411639363733229e+03 -1.270007396299019931e+00 1.457008855919747214e-01 2.932647265028845318e+00 6.090162923450684218e+00 1.578832366349935532e+09 2.465927434762563930e+00 8.268499999999999739e-01 3.071749416654013203e+02 7.804848175766192071e+02
2.089528629393166526e+00 2.028504048807848736e+00 2.813515071144117883e+03 -6.381006893947640535e-01 3.775209046470247909e+00 8.317472249370039261e-01 4.853332474610472680e+00 1.600716151662533522e+09 2.447159580343556406e+00 4.847500000000000142e-01 9.047605453573867251e+00 1.328844209960235112e+01
1.456378100999302205e+00 1.353124353308894801e+00 6.514244113816792378e+03 7.876651926749205224e-01 3.121972024531515011e+00 1.858249515302180743e+00 4.272246784888600879e-01 1.603780489191999197e+09 2.323217512314739164e+00 9.667499999999999982e-01 1.995612467365205305e+02 3.179457599837110138e+02
1.143405047790980289e+00 1.276818101018996954e+00 5.365045293051111912e+03 -1.318492523758783452e+00 1.389027449656803428e-02 1.870483128973978504e+00 2.578357198156520536e+00 1.595808134716872692e+09 5.868752372811919749e+00 8.255500000000000060e-01 8.591592013964295802e+02 4.524040568092999024e+02
1.427815917436830562e+00 1.928541628971749189e+00 2.558366522626135065e+03 -7.843378706576304982e-01 4.022668364744947489e+00 4.540582176187833996e-01 5.199891970860678114e+00 1.594143804745895863e+09 3.918624673542297376e+00 4.475500000000000034e-01 2.267229222563721862e+02 2.287422975347458376e+01
1.857877761198569511e+00 2.057546663865881698e+00 9.018698889677087891e+02 -3.510901956518366340e-01 2.675333129282376543e+00 2.638718648021929791e+00 2.666778273059357662e+00 1.579718335984079599e+09 3.674221209020263501e+00 1.802499999999999936e-01 3.244948820017200575e+01 1.114798219793353162e+01
1.693782338731288029e+00 1.539234508793895895e+00 5.847762655655806157e+03 -8.701612476799484019e-01 2.922155712981170161e+00 1.793991213805763429e+00 5.145296586708806963e+00 1.580128443340419769e+09 4.837346513132813719e+00 8.855499999999999483e-01 6.928520323879126863e+01 1.378432954920053248e+02
2.182166181662712923e+00 1.891589111979925963e+00 6.671428166877101830e+03 -1.105137449454725918e+00 3.518320936339871086e+00 1.402202568284900419e+00 2.285879854690940238e+00 1.607485466777122498e+09 4.873966469149084269e+00 9.856500000000000261e-01 3.930469830225420846e+00 2.753167071823663647e+01
1.137012360171518965e+00 1.769067513093191213e+00 3.405479475706328685e+03 -5.116793589215273830e-01 5.436299530485769971e+00 4.521947371522164194e-01 7.301073689856184545e-01 1.599242463394701242e+09 2.873864450231940371e+00 5.683500000000000218e-01 8.883305192624848132e+02 4.924324999384275969e+01
2.154154595851088150e+00 1.328419045530309539e+00 6.676430391048868842e+03 -1.754703265415802349e-01 5.836395316913474129e-01 1.871907124836778458e+00 3.335023628482834734e+00 1.605264901393350363e+09 4.252218644930523261e-01 9.862499999999999600e-01 5.417227151512007843e+00 3.561256394200033242e+02
1.734780951440716645e+00 1.791596476404156091e+00 5.222737806474230638e+03 -2.165936923624405264e-01 5.984324805076726150e+00 9.063559706807130523e-01 2.602552882915980081e+00 1.582627277839323521e+09 3.812295924585143769e+00 8.076499999999999790e-01 5.759128747498930778e+01 4.437195471849844353e+01
1.402375938899716568e+00 2.063541370612398396e+00 6.513414456032185626e+03 -3.403512244228767969e-02 6.234122124675870680e+00 2.125455912506728051e+00 5.683142237669720487e+00 1.578454530884094000e+09 2.983740818704131659e+00 9.666500000000000092e-01 2.542026322999500678e+02 1.073432352834408832e+01
